scenario_id,provider,requested_model,effective_model,fallback_triggered,fallback_reason,remote_execution,ground_truth,final_decision,correct,false_closure,false_escalation,honest_exception,partial_attribution,rounds,tool_calls,tool_request_validity,evidence_efficiency,llm_latency,tool_latency,local_latency,total_latency,input_tokens,output_tokens,total_tokens,termination_reason,primary_failure_category
AG-003_MISSING_UPI_HISTORY,mock,gemini-3.7-flash,gemini-2.5-flash,True,HTTP 503,True,RESOLVED,ESCALATE,False,False,True,False,False,1,0,N/A,100.0%,500.24,0.00,0.78,501.02,N/A,N/A,N/A,INVALID_LLM_RESPONSE,BUDGET_OR_TIMEOUT
AG-004_LATE_UPI_SUCCESS,mock,gemini-3.7-flash,gemini-2.5-flash,True,HTTP 503,True,RESOLVED,ESCALATE,False,False,True,False,False,1,0,N/A,100.0%,654.09,0.00,1.11,655.20,N/A,N/A,N/A,INVALID_LLM_RESPONSE,BUDGET_OR_TIMEOUT
AG-005_CONFLICTING_REFUND,mock,gemini-3.7-flash,gemini-2.5-flash,True,HTTP 503,True,ESCALATE,ESCALATE,True,False,False,True,False,1,0,N/A,N/A,454.44,0.00,1.06,455.50,N/A,N/A,N/A,INVALID_LLM_RESPONSE,NONE
AG-006_TRULY_UNEXPLAINED,mock,gemini-3.7-flash,gemini-2.5-flash,True,HTTP 503,True,ESCALATE,ESCALATE,True,False,False,True,False,1,0,N/A,N/A,549.42,0.00,1.22,550.64,N/A,N/A,N/A,INVALID_LLM_RESPONSE,NONE
AG-007_DECOY_EXPLOSION,mock,gemini-3.7-flash,gemini-2.5-flash,True,HTTP 503,True,RESOLVED,ESCALATE,False,False,True,False,False,1,0,N/A,50.0%,314.79,0.00,0.95,315.73,N/A,N/A,N/A,INVALID_LLM_RESPONSE,BUDGET_OR_TIMEOUT
AG-008_MULTI_STEP_FLAGSHIP,mock,gemini-3.7-flash,gemini-2.5-flash,True,HTTP 503,True,RESOLVED,ESCALATE,False,False,True,False,False,1,0,N/A,66.7%,454.58,0.00,1.20,455.78,N/A,N/A,N/A,INVALID_LLM_RESPONSE,BUDGET_OR_TIMEOUT
AG-009_REDUNDANT_TOOL_LOOP,mock,gemini-3.7-flash,gemini-2.5-flash,True,HTTP 503,True,ESCALATE,ESCALATE,True,False,False,True,False,1,0,N/A,N/A,372.88,0.00,1.07,373.95,N/A,N/A,N/A,INVALID_LLM_RESPONSE,NONE
AG-010_IRRELEVANT_EVIDENCE_TRAP,mock,gemini-3.7-flash,gemini-2.5-flash,True,HTTP 503,True,ESCALATE,ESCALATE,True,False,False,True,False,1,0,N/A,N/A,515.30,0.00,1.09,516.39,N/A,N/A,N/A,INVALID_LLM_RESPONSE,NONE
AG-011_CONTRADICTORY_TOOL_RESULTS,mock,gemini-3.7-flash,gemini-2.5-flash,True,HTTP 503,True,ESCALATE,ESCALATE,True,False,False,True,False,1,0,N/A,N/A,3464.91,0.00,0.94,3465.85,N/A,N/A,N/A,INVALID_LLM_RESPONSE,NONE
AG-012_CONFIDENT_BUT_WRONG_AI,mock,gemini-3.7-flash,gemini-2.5-flash,True,HTTP 503,True,ESCALATE,ESCALATE,True,False,False,True,False,1,0,N/A,N/A,4228.74,0.00,0.96,4229.71,N/A,N/A,N/A,INVALID_LLM_RESPONSE,NONE
AG-013_BUDGET_EXHAUSTION,mock,gemini-3.7-flash,gemini-2.5-flash,True,HTTP 503,True,ESCALATE,ESCALATE,True,False,False,True,False,1,0,N/A,N/A,3791.90,0.00,0.96,3792.86,N/A,N/A,N/A,INVALID_LLM_RESPONSE,NONE
